TIME,UID,COMM,PID,TID,RET,EVENT,ARGS,CLASS
04:39:13:234104,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /var/tmp/systemd-private-9e6e279e2cd6463db6084d90bb9fe4e3-phpsessionclean.service-ZPPUL4/tmp, path: /run/systemd/unit-root/var/tmp, type: <nil>, flags: 20480",0
04:39:13:234569,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/boot, type: <nil>, flags: 4129",0
04:39:13:234607,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/boot/efi, type: <nil>, flags: 4129",0
04:39:13:235917,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/home, type: <nil>, flags: 4143",0
04:39:13:236770,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/root, type: <nil>, flags: 4143",0
04:39:13:237626,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/credentials, type: <nil>, flags: 4143",0
04:39:13:238543,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/systemd/incoming, type: <nil>, flags: 4143",0
04:39:13:239455,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/user, type: <nil>, flags: 4143",0
04:39:13:240329,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/usr, type: <nil>, flags: 4129",0
04:39:13:241294,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/home, type: <nil>, flags: 4143",0
04:39:13:242177,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/root, type: <nil>, flags: 4143",0
04:39:13:243281,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/credentials, type: <nil>, flags: 4143",0
04:39:13:244156,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/unit-root/run/user, type: <nil>, flags: 4143",0
04:39:13:244631,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: /run/systemd/unit-root, path: /, type: <nil>, flags: 8192",0
04:39:13:244663,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /, type: <nil>, flags: 1064960",0
04:39:13:244677,0,(ionclean),18094,18094,0,security_sb_mount,"dev_name: <nil>, path: /run/systemd/incoming, type: <nil>, flags: 524288",0
